"RECORD #(ITEM)","RECORD #(HOLDINGS)",22,"BARCODE","245|a",130,,
"i275421934","c24120923","1546-833X","PB1005097","a closer look","Closer look (San Francisco, Calif.)",,
"i275421946","c24120923","1546-833X","PB1005098","a closer look","Closer look (San Francisco, Calif.)",,
"i275421922","c24120923","1546-833X","PB1005099","a closer look","Closer look (San Francisco, Calif.)",,
"i275422252","c21117457","0567-8390","PB1008789","action","Action (Los Angeles, Calif.)",,
"i275425332","c17398411","0261-4472","PB1011172","afterimage","Afterimage (London, England)",,
"i275425344","c17398411","0261-4472","PB1011325","afterimage","Afterimage (London, England)",,
"i275425356","c17398411","0261-4472","PB1011326","afterimage","Afterimage (London, England)",,
"i275425368","c17398411","0261-4472","PB1011327","afterimage","Afterimage (London, England)",,
"i27542537x","c17398411","0261-4472","PB1011328","afterimage","Afterimage (London, England)",,
"i275425381","c17398411","0261-4472","PB1011329","afterimage","Afterimage (London, England)",,
"i275425393","c17398411","0261-4472","PB1011330","afterimage","Afterimage (London, England)",,
"i27542540x","c17398411","0261-4472","PB1011331","afterimage","Afterimage (London, England)",,
"i275425411","c17398411","0261-4472","PB1011332","afterimage","Afterimage (London, England)",,
"i275426622","c21926451","0300-7472","PB1008803","afterimage",,,
"i275426634","c21926451","0300-7472","PB1008804","afterimage",,,
"i275426646","c21926451","0300-7472","PB1008805","afterimage",,,
"i275426658","c21926451","0300-7472","PB1008806","afterimage",,,
"i27542666x","c21926451","0300-7472","PB1008807","afterimage",,,
"i275426671","c21926451","0300-7472","PB1008808","afterimage",,,
"i275426683","c21926451","0300-7472","PB1009201","afterimage",,,
"i275426695","c21926451","0300-7472","PB1009202","afterimage",,,
"i275426701","c21926451","0300-7472","PB1009203","afterimage",,,
"i275426713","c21926451","0300-7472","PB1009204","afterimage",,,
"i275426725","c21926451","0300-7472","PB1009205","afterimage",,,
"i275426737","c21926451","0300-7472","PB1009206","afterimage",,,
"i275426749","c21926451","0300-7472","PB1009207","afterimage",,,
"i275426750","c21926451","0300-7472","PB1009208","afterimage",,,
"i275426762","c21926451","0300-7472","PB1009209","afterimage",,,
"i275426774","c21926451","0300-7472","PB1009210","afterimage",,,
"i275426786","c21926451","0300-7472","PB1009211","afterimage",,,
"i275426798","c21926451","0300-7472","PB1009212","afterimage",,,
"i275426804","c21926451","0300-7472","PB1009213","afterimage",,,
"i275426816","c21926451","0300-7472","PB1009214","afterimage",,,
"i275426828","c21926451","0300-7472","PB1009215","afterimage",,,
"i27542683x","c21926451","0300-7472","PB1009216","afterimage",,,
"i275426841","c21926451","0300-7472","PB1009217","afterimage",,,
"i275426853","c21926451","0300-7472","PB1009218","afterimage",,,
"i275426865","c21926451","0300-7472","PB1009219","afterimage",,,
"i275426877","c21926451","0300-7472","PB1009220","afterimage",,,
