i275472231,c24499419,0163-5069 0163-5069 1,PB1012491,film criticism,
i275426440,c21926451,0300-7472,PB1011339,afterimage,
i275426117,c21926451,0300-7472,PB1011428,afterimage,
i275476923,c24501426,1083-5369 1083-5369 1,PB1013352,films of the golden age,
i275476431,c24501360,0015-5128,PB1013376,focus on film,
i275440382,c21349447,0731-5198,PB1013647,the independent,"Independent (New York, N.Y. : 1978)"
i275474690,c24500380,0015-1025 0015-1025 z,PB1013053,film,"Film (London, England : 1954)"
i275450314,c24356888,0046-3787 0046-3787 1,PB1009400,the film journal,
i275438764,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013726,the independent film & video monthly,
i275477344,c2450144x,0015-1610 0015-1610 1,PB1013321,filmmakers newsletter,
i275457837,c24370526,0015-1270 0015-1270 1,PB1010201,film heritage,
i275476698,c24501402,0306-7661 0306-7661,PB1013402,framework,
i275452803,c24357613,0027-0407,PB1010210,monthly film bulletin,
i275432518,c1740910x,0199-7300 1,PB1008432,the film journal,
i27544692x,c16330274,0036-9543 0036-9546 z,PB1007284,screen,"Screen (London, England)"
i275438582,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013708,the independent film & video monthly,
i275457242,c24364617,0008-011X 0757-8075,PB1010425,cahiers du cinéma,
i275450545,c24357571,0019-3712 0019-3712 1,PB1014060,the independent film journal,
i27547527x,c24500380,0015-1025 0015-1025 z,PB1013111,film,"Film (London, England : 1954)"
i275483599,c24501839,0164-9655 0164-9655 1,PB1014026,millimeter,
i275483848,c24501840,0885-5021 0885-5021 1,PB1014232,movietone news,
i275459846,c24373667,0048-4911 0048-4911 z,PB1010801,positif,
i275422720,c14643856,0015-1327 0160-7316,PB1012840,film library quarterly,
i275484312,c24501840,0885-5021 0885-5021 1,PB1014279,movietone news,
i275466711,c24497307,0158-4154 0158-4154,PB1012166,cantrill's filmnotes,
i275441386,c17414477,1077-9361 0742-533 0742-5333 1,PB1008152,international documentary,
i275467041,c24497319,0147-4049 0147-4049 1,PB1012121,bright lights,
i275425976,c21926451,0300-7472,PB1011413,afterimage,
i275483332,c24501839,0164-9655 0164-9655 1,PB1014000,millimeter,
i275432671,c1740910x,0199-7300 1,PB1008448,the film journal,
i275480811,c24501736,0191-541X,PB1013792,lighting dimensions,
i275433201,c1740910x,0199-7300 1,PB1008501,the film journal,
i275441167,c17414477,1077-9361 0742-533 0742-5333 1,PB1008130,international documentary,
i275442123,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009107,the journal of popular film and television,
i275470994,c24498361,0743-4545 0743-4545 1,PB1012604,film and video makers travel sheet,
i275475311,c24500380,0015-1025 0015-1025 z,PB1013115,film,"Film (London, England : 1954)"
i275451860,c24357571,0019-3712 0019-3712 1,PB1014192,the independent film journal,
i275453030,c24357613,0027-0407,PB1010233,monthly film bulletin,
i275425526,c21926451,0300-7472,PB1011368,afterimage,
i275480264,c24501670,0751-7033,PB1013737,iris,Collection  Iris  (Plon (Firm))
i275439951,c21349447,0731-5198,PB1013604,the independent,"Independent (New York, N.Y. : 1978)"
i275480768,c24501736,0191-541X,PB1013787,lighting dimensions,
i23462582x,c2447941x,1330-7665 1330-7665,,hrvatski filmski ljetopis,
i275484865,c24501906,0146-0013,PB1014638,quarterly review of film studies,
i275463904,c24369780,0015-153X,PB1010189,filmfacts,
i275468021,c2449737x,0826-9866,PB1012219,cineaction!,
i275461506,c24373679,0045-1150,PB1011715,l'avant-scène cinéma,
i275461051,c24373679,0045-1150,PB1011686,l'avant-scène cinéma,
